building,counts
246 5 AV,6
2 FULTON ST,6
693 FIFTH AV,6
240 E 86 ST,6
1153 YORK AV,6
101 W 125 ST,6
335 BOWERY,6
605 E 14 ST,6
3957 BRDWAY,6
279 CHURCH ST,6
26 W 61 ST,6
501 AV AV,6
177 9 AV,6
25 E 6 AV ST,6
599 LEXINGTON AV,6
514 W 28 ST,6
519 HUDSON ST,6
405 W 23 ST,6
140 FIFTH AV,6
16 E 2 AV ST,6
111 E 5 AV ST,6
865 W END AV,6
635 E 14 ST,6
45 E 34 ST,6
484 GRAND ST,6
323 E 72ND ST,6
1552 BRDWAY,6
219 E 42 ST,6
100 W 57 ST,6
3 W 3 AV ST,6
993 THIRD AV,6
241 W 7 AV ST,6
276 W 119 ST,6
346 HUDSON ST,6
700 AV AV,6
601 W 57 ST,6
1250 5 AV,6
266 W 25 ST,6
61 E END AV,6
506 W 178 ST,6
8 W 3 AV ST,6
1255 BRDWAY,6
25 W 3 AV ST,6
101 E 59 ST,6
411 9 AV,6
2070 1 AV,6
20 E 91 ST,6
6 W 4 AV ST,6
890 BRDWAY,6
200 W 9 AV ST,6
129 FIFTH AV,6
522 E 20 ST,6
124 W 60 ST,6
1790 3 AV,6
420 PARK AV SOUTH,6
1109 PARK AV,6
118 DUANE ST,6
165 WILLIAM ST,6
1918 1 AV,6
295 LAFAYETTE ST,6
355 W 45 ST,6
85 BOWERY,6
60 WARREN ST,6
116 W 32 ST,6
501 HUDSON ST,6
122 E 16 ST,6
1 E 2 AV ST,6
180 W 20 ST,6
201 W 72 ST,6
40 E 62ND ST,6
212 E 23 ST,6
38 E 1 AV ST,6
236 W 3 AV ST,6
142 W 2 AV ST,6
4 PARK AV,6
34 W 2 AV ST,6
974 ST NICHOLAS AV,6
47 JOHN ST,6
575 W 172 ST,6
5 E 14 ST,6
314 11 AV,6
115 E 2 AV ST,6
300 E 64 ST,6
2300 FREDERICK DOUGLAS BLVD,6
117 BRD ST,6
455 FDR DRIVE,6
123 MERCER ST,6
315 AV AV,6
141 W 2 AV ST,6
1150 MADISON AV,6
90 E END AV,6
601 W 2 AV ST,6
15 JOHN ST,6
1763 FIRST AV,6
50 PINE ST,6
222 AV AV,6
21 W 20 ST,6
38 E 10 ST,6
461 PARK AV,6
32 W 4 AV ST,6
244 W 54 ST,6
220 RIVERSIDE BLVD,6
626 1 AV,6
6 ST NICHOLAS PL,6
244 CANAL ST,6
497 SEVENTH AV,6
166 AMSTERDAM AV,6
35 W 4 ST,6
5 STUYVESANT OVAL,6
99 WORTH ST,6
383 GRAND ST,6
654 MADISON AV,6
237 LAFAYETTE ST,6
3143 BRDWAY,6
464 LEXINGTON AV,6
528 W 162 ST,6
20 W 3 AV ST,6
747 10 AV,6
47 W 3 AV ST,6
15 CATHERINE ST,6
465 PARK AV,6
104 W 18 ST,6
48 PARK AV,6
424 BRDWAY,6
319 E 24 ST,6
196 E 75 ST,6
324 W 30 ST,6
267 AV AV,6
54 MADISON AV,6
428 10 AV,6
21 E 4 AV ST,6
641 5 AV,6
741 9 AV,6
32 E 3 AV ST,6
546 BRDWAY,6
287 GREENWICH ST,6
119 W 2 AV ST,6
469 10 AV,6
216 W 23 ST,6
570 PARK AV,6
162 AV AV,6
6 STUYVESANT OVAL,6
69 GREENWICH ST,6
77 BOWERY,6
40 MERCER ST,6
2541 SEVENTH AV,6
132 4 AV,6
29 WASHINGTON SQUARE W,6
610 FIFTH AV,6
105 CHAMBERS ST,6
420 E 61 ST,6
18 E 1 AV ST,6
150 LAFAYETTE ST,6
360 PARK AV,6
147 E 86 ST,6
50 W 17 ST,6
100 6 AV,6
592 AV AV,6
16 W 5 AV ST,6
791 AMSTERDAM AV,6
240 1 AV,6
34 VARICK ST,6
229 CONVENT AV,6
821 UN PLAZA,6
327 E 48 ST,6
259 W 132 ST,6
206 W 5 AV ST,6
169 W 72 ST,6
40 E 8 AV ST,6
7 W 3 AV ST,6
95 W 95 ST,6
393 LAFAYETTE ST,6
800 2ND AV,6
166 BRDWAY,6
712 AV AV,6
89 W 3 ST,6
253 W 73 ST,6
2093 BWAY,6
349 FIFTH AV,6
45 WALL ST,6
14 E 32ND ST,6
333 W 34 ST,6
400 E 52 ST,6
715 BRDWAY,6
92 PINEHURST AV,6
53 E 79 ST,6
118 W 2 AV ST,6
327 W 36 ST,6
521 E 14 ST,6
392 LAFAYETTE ST,6
342 1 AV,6
