building,counts
150 NICOLOSI DRIVE,1
500 SEAVIEW AV,1
16-12 PAUW ST,1
371 VANNAME AV,1
272 YORK AV,1
312 SOUTH AV,1
20 HOUSTON ST,1
11 WATERFORD COURT,1
99 DOUGLAS RD,1
301 ADA DRIVE,1
2707 HYLAN BLVD,1
2945 RICHMOND TERRACE,1
2474 FOREST AV,1
580 BAY ST,1
1000F RICHMOND TERRACE,1
2530 HYLAN BLVD,1
3041 VETERANS RD W,1
36 ST JAMES AV,1
2348 FOREST AV,1
151 ST AUSTINS PL NORTH,1
83 NEW LANE,1
101 DANIEL LOW TERRACE,1
29 MEADOW COURT,1
49 STANLEY AV,1
255 HOWARD AV,1
116 COLLEGE AV,1
61 ACKERMAN ST,1
741 PATTERSON AV,1
976 CASTLETON AV,1
1781 RICHMOND AV,1
11 MOTLEY AV,1
191 BRDWALK AV,1
55 B RICHMOND TERRACE,1
183 BUCHANAN ST,1
16 SIGNAL HILL RD,1
1057 TODT HILL RD,1
22 BAMBERGER LANE,1
658 NEW DORP LANE,1
3945 AMBOY RD,1
7 SHARPE AV,1
501 BRIELLE AV,1
121 WELLINGTON COURT,1
71 PLEASANT VALLEY AV,1
55B RICHMOND TERRACE,1
364 BAY ST,1
955 RICHMOND RD,1
42 RICHMOND TER,1
845 WILLOWBROOK RD,1
548 TARGEE ST,1
75 IDAHO AV,1
85 SWEETBROOK RD,1
332 NEW DORP LANE,1
189 NORTH BURGHER AV,1
131 SEGUINE AV,1
500 LINCOLN AV,1
40 YOUKON AV,1
98 HILLCREST ST,1
145 FRIENDSHIP LANE,1
121 VAN BUREN ST,1
4654 AMBOY RD,1
1551 RICHMOND RD,1
194 WIMAN AV,1
63 ARBUTUS AV,1
1331 BAY ST,1
520 DURANT AV,1
49 JACKSON ST,1
42 RICHMOND TERRACE,1
754 MANOR RD,1
761 MANOR RD,1
7316 AMBOY RD,1
355 FOREST AV,1
20 EBBITTS AV,1
98 GREENFIELD AV,1
1 YACHT CLUB COVE,1
37 HOWARD AV,1
151 DUTCHESS AV,1
1182 MASON AV,1
747 CLERMONT AV,1
75 SKYLINE DR,1
30 BADEN PL,1
66 GARAGE MOUNTAINVIEW AV,1
38 NAUTILUS ST,1
32 W ST,1
258 TARGEE ST,1
200 WOODVALE AV,1
2901 RICHMOND TERRACE,1
179 LAKE AV,1
18 BETTY COURT,1
654 SHARROTTS RD,1
1432 HYLAN BLVD,1
44 OSWALD PL,1
311 GRANDVIEW AV,1
58 MULBERRY CIRCLE,1
224 BENZIGER AV,1
41 ARBUTUS WAY,1
2171 FOREST AV,1
1268 FOREST AV,1
1341 HUGUENOT AV,1
27 NEW DORP LANE,1
36 RICHMOND TERRACE,1
16 A FRANKLIN LANE,1
320 ST MARKS PL,1
208 WIMAN AV,1
546 CARLTON BLVD,1
416A JERSEY ST,1
171 COVERLY AV,1
705 FOREST AV,1
123 ST MARKS PL,1
126 KRAMER ST,1
1000 SOUTH AV,1
452 SOUTH AV,1
57 BAY ST,1
400 CASWELL AV,1
57 WERVELT AV,1
31 GADSEN PL,1
104 HOUSMAN AV,1
11 CRESCENT BEACH,1
7 ISMAY ST,1
4 GRACE RD,1
345 SEAVIEW AV,1
1527 ARTHUR KILL RD,1
101 MYRTLE AV,1
195 STEUBEN ST,1
690 CASTLETON AV,1
1390 CASTLETON AV,1
3917 AMBOY RD,1
850 HOWARD AV,1
1000 RICHMOND TERRACE,1
198 DAVIS AV,1
1759 HYLAN BLVD,1
34 PLATTSBURG ST,1
34 ORBIT LANE,1
268 LEONARD AV,1
8 HOWARD AV,1
305 SEGUINE AV,1
51 NORTH BURGHER AV,1
244 BUEL AV,1
393 LIGHTHOUSE AV,1
