boro,door_number,street_address
1,50,OVERLOOK TERRACE
1,10,OVERLOOK TERRACE
1,41,OVERLOOK TERRACE
1,37,OVERLOOK TERRACE
1,57,OVERLOOK TERRACE
1,315,E 106 ST
1,60,E 106 ST
1,105,E 106 ST
1,50,E 106 ST
1,421,E 106 ST
1,225,E 106 ST
1,315,E 106 ST
1,212,E 106 ST
1,2,E 106 ST
1,115,E 106 ST
1,226,E 106 ST
1,176,E 106 ST
1,225,E 106 ST
1,334,E 106 ST
1,234,E 106 ST
1,325,E 106 ST
1,176,E 106 ST
1,340,E 106 ST
1,115,E 106 ST
1,22,E 106 ST
1,325,E 106 ST
1,221,E 106 ST
1,238,E 106 ST
1,232,E 106 ST
1,461,FORT WASHINGTON AV
1,481,FORT WASHINGTON AV
1,86,FORT WASHINGTON AV
1,427,FORT WASHINGTON AV
1,66,FORT WASHINGTON AV
1,506,FORT WASHINGTON AV
1,396,FORT WASHINGTON AV
1,371,FORT WASHINGTON AV
1,80,FORT WASHINGTON AV
1,47,FORT WASHINGTON AV
1,370,FORT WASHINGTON AV
1,38,FORT WASHINGTON AV
1,435,FORT WASHINGTON AV
1,590,FORT WASHINGTON AV
1,30,VAN DAM ST
1,21,WILLETT ST
1,15,WILLETT ST
1,137,E 13 ST
1,56,E 13 ST
1,76,E 13 ST
1,544,E 13 ST
1,501,E 13 ST
1,513,E 13 ST
1,212,E 13 ST
1,54,E 13 ST
1,122,E 13 ST
1,438,E 13 ST
1,39,E 13 ST
1,7,E 13 ST
1,130,E 13 ST
1,12,E 13 ST
1,327,E 13 ST
1,17,E 13 ST
1,24,E 13 ST
1,111,E 13 ST
1,500,E 13 ST
1,726,E 13 ST
1,612,E 13 ST
1,203,E 13 ST
1,52,E 13 ST
1,641,E 13 ST
1,113,E 13 ST
1,239,E 13 ST
1,104,E 13 ST
1,114,E 13 ST
1,208,E 13 ST
1,461,W 148 ST
1,412,W 148 ST
1,402,W 148 ST
1,611,W 148 ST
1,465,W 148 ST
1,202,W 148 ST
1,562,W 148 ST
1,308,W 148 ST
1,221,W 148 ST
1,545,W 148 ST
1,454,W 148 ST
1,553,W 148 ST
1,557,W 148 ST
1,611,W 148 ST
1,209,W 148 ST
1,201,W 148 ST
1,551,W 148 ST
1,241,W 148 ST
1,255,W 148 ST
1,409,W 148 ST
1,545,W 148 ST
1,300,W 150 ST
1,465,W 150 ST
1,569,W 150 ST
1,558,W 150 ST
1,541,W 150 ST
1,305,W 150 ST
1,308,W 150 ST
1,415,W 150 ST
1,271,W 150 ST
1,608,W 150 ST
1,408,W 150 ST
1,503,W 150 ST
1,615,W 150 ST
1,620,W 150 ST
1,556,W 150 ST
1,401,W 150 ST
1,413,W 150 ST
1,312,W 150 ST
1,505,W 150 ST
1,461,W 150 ST
1,301,W 150 ST
1,600,W 150 ST
1,287,W 150 ST
1,537,W 150 ST
1,400,W 150 ST
1,300,W 125 ST
1,215,W 125 ST
1,75,W 125 ST
1,313,W 125 ST
1,567,W 125 ST
1,301,W 125 ST
1,132,W 125 ST
1,209,W 125 ST
1,166,W 125 ST
1,2,W 125 ST
1,321,W 125 ST
1,245,W 125 ST
1,361,W 125 ST
1,712,W 125 ST
1,226,W 125 ST
1,603,W 125 ST
1,63,W 125 ST
1,430,W 125 ST
1,230,W 125 ST
1,17,W 125 ST
1,350,W 125 ST
1,148,W 125 ST
1,550,W 125 ST
1,144,W 125 ST
1,445,W 125 ST
1,523,W 125 ST
1,401,W 125 ST
1,101,W 125 ST
1,565,W 125 ST
1,463,W 125 ST
1,4,W 125 ST
1,539,W 125 ST
1,511,W 125 ST
1,258,W 125 ST
1,527,W 125 ST
1,256,W 125 ST
1,403,W 125 ST
1,463,W 125 ST
1,467,W 125 ST
1,439,W 125 ST
1,545,W 125 ST
1,55,W 125 ST
1,564,W 125 ST
1,571,W 125 ST
1,1,W 125 ST
1,557,W 125 ST
1,213,W 125 ST
1,457,W 125 ST
1,32,W 125 ST
1,351,W 125 ST
1,666,WATER ST
1,66,WATER ST
1,648,WATER ST
1,247,WATER ST
1,272,WATER ST
1,160,WATER ST
1,658,WATER ST
1,650,WATER ST
1,617,WATER ST
1,199,WATER ST
1,645,WATER ST
1,397,WATER ST
1,6,WATER ST
1,264,WATER ST
1,101,WATER ST
1,605,WATER ST
1,268,WATER ST
1,275,WATER ST
1,675,WATER ST
1,180,WATER ST
1,40,WATER ST
1,46,WATER ST
1,55,WATER ST
1,670,WATER ST
1,1,WATER ST
1,604,WATER ST
1,9,GRACIE SQUARE
1,1,GRACIE SQUARE
1,7,GRACIE SQUARE
1,23,CHITTENDEN AV
1,17,CHITTENDEN AV
1,15,CHITTENDEN AV
1,77,COLUMBIA ST
1,115,COLUMBIA ST
1,75,COLUMBIA ST
1,85,COLUMBIA ST
1,65,COLUMBIA ST
1,71,COLUMBIA ST
1,24,COLUMBIA ST
1,137,W 45 ST
1,109,W 45 ST
1,56,W 45 ST
1,66,W 45 ST
1,25,W 45 ST
1,7,W 45 ST
1,520,W 45 ST
1,535,W 45 ST
1,132,W 45 ST
1,49,W 45 ST
1,62,W 45 ST
1,630,W 45 ST
1,2,W 45 ST
1,120,W 45 ST
1,7,W 45 ST
1,505,W 45 ST
1,330,W 45 ST
1,141,W 45 ST
1,420,W 45 ST
1,149,W 45 ST
1,38,W 45 ST
1,17,W 45 ST
1,41,W 45 ST
1,334,W 45 ST
1,16,W 45 ST
1,456,W 45 ST
1,23,W 45 ST
1,530,W 45 ST
1,445,W 45 ST
1,302,W 45 ST
1,159,W 45 ST
1,642,W 45 ST
1,406,W 45 ST
1,312,W 45 ST
1,317,W 45 ST
1,432,W 45 ST
1,14,W 45 ST
1,37,W 45 ST
1,251,W 45 ST
1,442,W 45 ST
1,416,W 45 ST
1,442REAR,W 45 ST
1,449,W 45 ST
1,35,W 45 ST
1,18,W 45 ST
1,326,W 45 ST
1,301,W 45 ST
1,525,W 45 ST
1,444,W 45 ST
1,135,W 45 ST
1,411,W 45 ST
1,328,W 45 ST
1,1175,3 AV
1,1928,3 AV
1,1501,3 AV
1,1495,3 AV
1,1438,3 AV
1,274,3 AV
1,1808,3 AV
1,535,3 AV
1,875,3 AV
1,2246,3 AV
1,1345,3 AV
1,1810,3 AV
1,286,3 AV
1,321,3 AV
1,560,3 AV
1,776,3 AV
1,1945,3 AV
1,1852,3 AV
1,1250,3 AV
1,1030,3 AV
1,310,3 AV
1,2273,3 AV
1,1151,3 AV
