building,counts
90 FURMAN ST,5
723 60 ST,5
372 GATES AV,5
130 ADELPHI ST,5
2906 BRIGHTON 12 ST,5
543 SURF AV,5
903 63 ST,5
5910 20 AV,5
32 COURT ST,5
470 LAFAYETTE AV,5
2850 W 17 ST,5
280 E 91 ST,5
76 HART ST,5
197 22 ST,5
694 HOPKINSON AV,5
1884 BRDWAY,5
336 FURMAN ST,5
27 ALBANY AV,5
526 DAHILL RD,5
34 NORTH 7 ST,5
1208 37 ST,5
730 SACKETT ST,5
105 JOHNSON ST,5
126 MYRTLE AV,5
2705 KINGS HIGHWAY,5
300 SCHERMERHORN ST,5
47 MCKEEVER PL,5
1750 E 14 ST,5
2423 DEAN ST,5
2417 ALBEMARLE RD,5
860 ST JOHNS PL,5
401 MENAHAN ST,5
56 1 AV,5
245 BERGEN ST,5
247 JEFFERSON AV,5
5 DELEVAN ST,5
2310 GLENWOOD RD,5
36 ATKINS AV,5
60 BOERUM PL,5
550 EERN PARKWAY,5
23 HEYWARD ST,5
3111 AURELIA COURT,5
380 FULTON ST,5
154 SCOTT AV,5
160 JOHN ST,5
800 MADISON ST,5
551 WAVERLY AV,5
139 PLYMOUTH ST,5
18 BAY 17 ST,5
533 MYRTLE AV,5
461 HALSEY ST,5
105 8 AV,5
319 FROST ST,5
2661 OCEAN PKWAY,5
220 36 ST,5
1030 CARROLL ST,5
317 LEFFERTS AV,5
205 FROST ST,5
1530 E 18 ST,5
98 AV ST,5
695 GRAND ST,5
250 JAY ST,4
2184 MILL AV,4
2179 E 22 ST,4
123 LINDEN BLVD,4
400 HERKIMER ST,4
607 2 AV,4
360 SNEDIKER AV,4
323 AV M,4
3901 NOSTRAND AV,4
252 ATLANTIC AV,4
195 MONTAGUE ST,4
358 DOUGLASS ST,4
142 NORTH 6 ST,4
2001 EMMONS AV,4
5811 DITMAS AV,4
1230 48 ST,4
374 IRVING AV,4
2929 W 31 ST,4
323 PACIFIC ST,4
1776 NOSTRAND AV,4
2220 VOORHIES AV,4
309 LAFAYETTE AV,4
188 MONTAGUE ST,4
474 STRATFORD RD,4
3411 CLARENDON RD,4
442 FRANKLIN AV,4
15 MAIN ST,4
1228 E 34 ST,4
472 VAN BRUNT ST,4
130 NORTH AV ST,4
201 CHAUNCEY ST,4
31 LEONARD ST,4
66 EMERSON PL,4
242 BEDFORD AV,4
716 MADISON ST,4
3113 AV I,4
80 LEWIS AV,4
19 DELAVAN ST,4
585 E 21 ST,4
279 LEE AV,4
1413 E NEW YORK AV,4
478 HALSEY ST,4
2750 E 12 ST,4
115 SOUTH 2 ST,4
109 SOUTH 5 ST,4
805 MAPLE ST,4
7101 FOURTH AV,4
2484 E 3 ST,4
2700 OCEAN AV,4
7002 BAY PKWAY,4
1415 AV O,4
43 CLINTON AV,4
1371 LINDEN BLVD,4
1091 FULTON ST,4
8117 13 AV,4
27 HEYWARD ST,4
545 FULTON ST,4
691 NOSTRAND AV,4
621 OCEAN AV,4
343 43 ST,4
475 EUCLID AV,4
1347 E 1 AV ST,4
133 LEFFERTS AV,4
311 FRANKLIN AV,4
169 COLUMBIA HTS,4
78 JACKSON ST,4
80 CLARKSON AV,4
131 LIVINGSTON ST,4
1840 52 ST,4
137 BAYARD ST,4
3720 1 AV AV,4
226 PUTNAM AV,4
862 DEKALB AV,4
1338 BRDWAY,4
888 MONTGOMERY ST,4
2723 ATLANTIC AV,4
773 KENT AV,4
229 GREEN ST,4
80 GREENE AV,4
19 HOPE ST,4
41 HARRISON AV,4
875 60 ST,4
47 DIAMOND ST,4
160 JAY ST,4
827 E 92 ST,4
645 KINGSTON AV,4
377 OCEAN AV,4
247 WATER ST,4
1750 PROSPECT PL,4
1185 DEAN ST,4
58 WINTHROP ST,4
38 WALWORTH ST,4
30 LAFAYETTE AV,4
41 HOWARD AV,4
2225 E 21 ST,4
