comp_disp_inspection_by,comp_disp_date,nyc_BIN,location
2556,2016-10-13,1060086,"40.8188040,-73.9396400"
2565,2016-10-13,1084144,"40.8245428,-73.9371016"
1733,2016-10-13,1053503,"40.8070104,-73.9430856"
2727,2016-10-13,1053503,"40.8070104,-73.9430856"
2772,2016-10-13,1007832,"40.7268734,-74.0036906"
2402,2016-10-13,1089323,"0.0000000,0.0000000"
2402,2016-10-13,1089323,"0.0000000,0.0000000"
2402,2016-10-13,1089323,"0.0000000,0.0000000"
2402,2016-10-13,1031092,"40.7837169,-73.9835052"
2402,2016-10-13,1024727,"40.7584394,-73.9864929"
2402,2016-10-13,1024727,"40.7586198,-73.9862120"
2765,2016-10-13,1063188,"40.8462049,-73.9330280"
2531,2016-10-13,1008796,"0.0000000,0.0000000"
2727,2016-10-13,1087982,"40.8093500,-73.9368640"
2271,2016-10-13,1013313,"40.7447019,-73.9997370"
2556,2016-10-13,1029778,"40.7775623,-73.9815947"
2556,2016-10-13,1029778,"40.7775623,-73.9815947"
2772,2016-10-13,1008423,"40.7270311,-73.9947224"
2669,2016-10-13,1041814,"40.7753330,-73.9646356"
2271,2016-10-13,1012862,"40.7549040,-73.9985040"
2556,2016-10-13,1063188,"40.8462049,-73.9330280"
2669,2016-10-13,1047550,"40.7771040,-73.9589800"
2460,2016-10-13,1057061,"40.7959590,-73.9734280"
2271,2016-10-13,1026508,"40.7621701,-73.9921840"
2720,2016-10-12,5080385,"40.5404089,-74.1761670"
2556,2016-10-12,4001314,"40.7437880,-73.9169690"
2282,2016-10-12,4001293,"40.7436230,-73.9163660"
1984,2016-10-12,4001293,"40.7436230,-73.9163660"
1710,2016-10-12,4315205,"40.7001220,-73.8522270"
1984,2016-10-12,4036162,"40.7526419,-73.8733419"
2788,2016-10-12,4449512,"40.7529386,-73.8727051"
2633,2016-10-12,4005065,"40.7505696,-73.9423033"
2688,2016-10-12,4586827,
1984,2016-10-12,4001293,"40.7436230,-73.9163660"
2556,2016-10-12,4001314,"40.7437880,-73.9169690"
