building,counts
699 W 239 ST,4
25 E 213 ST,4
1428 FRANKLIN AV,4
1334 LOUIS NINE BLVD,4
2437 FENTON AV,4
3710 BARNES AV,4
230 E 179 ST,4
540 JACKSON AV,4
140 DE KRUIF PL,4
1240 WALTON AV,4
2344 DAVIDSON AV,4
4300 MARTHA AV,4
1892 MORRIS AV,4
2824 MORRIS AV,4
780 E 138 ST,4
140 ALCOTT PL,4
120 ELGAR PL,4
1826 ARTHUR AV,4
301 E 181 ST,4
1220 GERARD AV,4
3901 INDEPENDENCE AV,4
500 E FORDHAM RD,4
1430 PLIMPTON AV,4
1661 GRAND AV,4
1235 GRAND CONCOURSE,4
1825 ECHESTER RD,4
3525 BAYCHESTER AV,4
631 MELROSE AV,4
1165 MORRIS PARK AV,4
2380 E TREMONT AV,4
3288 PERRY AV,4
1711 LACOMBE AV,4
1700 CROTONA PK E,4
759 E 138 ST,4
1201 OGDEN AV,4
1910 ARTHUR AV,4
2385 BARKER AV,4
2922 3 AV,4
1757 TOPPING AV,4
995 E 149 ST,4
1201 FINDLAY AV,4
900 BAYCHESTER AV,4
3240 HENRY HUDSON PKWY,4
236 MT HOPE PL,4
10-10 HAZEN ST,4
193 W 237 ST,4
3718 HENRY HUDSON PARKWAY,4
255 FIELDSTON TERRACE,4
2336 ANDREWS AV,4
356 E 161 ST,4
640 W 237 ST,4
1555 GR CONCOURSE,4
120 CASALS PL,4
1707 BOSTON RD,4
3701 JEROME AV,4
5961 PALISADE AV,4
910 GRAND CONCOURSE,4
3200 ROCHAMBEAU AV,4
530 W 23 AV ST,4
100 DREISER LOOP,4
2059 MCGRAW AV,4
750 FAILE ST,4
4770 WHITE PLAINS RD,4
3891 FIELDSTON RD,4
3824 BRONX BLVD,4
951 BROOK AV,4
2146 BARNES AV,4
2665 GRAND CONCOURSE,4
4555 H HUDSON PARKWY,4
4168 CARPENTER AV,4
2300 WCHESTER AV,4
1099 GRANT AV,4
491 E 165 ST,4
4110 HUTCH RIVER PARKWAY,4
920 PROSPECT AV,4
922 SIMPSON ST,4
3225 OLINVILLE AV,4
1309 FULTON AV,4
740 E 243 ST,4
880 BOYNTON AV,4
165 E 17 AV ST,4
1141 JEROME AV,4
1593 BATHGATE AV,4
2844 WEBB AV,4
660 NEREID AV,4
506 BROOK AV,4
315 E 148 ST,4
1475 JESUP AV,4
730 BRYANT AV,4
534 JACKSON AV,4
1820 LORING PL,4
756 SAINT ANN'S AV,4
3349 WEBSTER AV,4
230 E 167 ST,4
516 WCHESTER AV,4
855 FAILE ST,4
1760 MONTGOMERY AV,4
6485 BRDWAY,4
2948 AV AV,4
100 VAN CORTLANDT PARK SOUTH,4
3111 HEATH AV,4
2538 VALENTINE AV,4
3220 ARLINGTON AV,4
3844 WHITE PLAINS RD,4
2131 WALLACE AV,4
545 E 144 ST,4
1555 WATSON AV,4
2504 BRONX PK E,4
42 W MOSHOLU PARKWAY SOUTH,4
754 E 151 ST,4
2678 KINGSBRIDGE TERRACE,4
3000 WHITE PLAINS RD,4
199 MT EDEN PARKWAY,4
3961 HILLMAN AV,4
1345 SHAKESPEARE AV,4
2452 WASHINGTON AV,4
25 W 195 ST,4
