building,counts
142 E 92 ST,7
37 E 64TH ST,7
424          EAST 34 STREET,7
301 EAST 57 STREET,7
681 MADISON AVENUE,7
140 W. 102 ST,7
207 VARICK STREET,7
632 MADISON AVE,7
1011 3 AVE,7
902 BROADWAY,7
1186 BROADWAY,7
30 WALL STREET,7
15 W 39TH ST,7
2145         2 AVENUE,7
55 WEST 13 STREET,7
4 EAST 43 ST,7
295 MADISON AVE,7
201 EAST 42 STREET,7
17 UNION SQUARE WEST,7
883 SECOND AV,7
140 EAST 14 STREET,7
603 WEST 129 STREET,7
571 8 AVENUE,7
560 BROADWAY,7
356 WEST 34 STREET,7
2780 BROADWAY,7
269 W 40 ST,7
229 BROADWAY,7
69 BROADWAY,7
159-00 RIVERSIDE DRIVE WEST,7
550 SEVENTH AVENUE,7
1178 MADISON AVE,7
31 WEST   34 STREET,7
164 WEST 66 STREET,7
434 PARK AVE SOUTH,7
338          WEST 39 STREET,7
515 WEST 52 STREET,7
1 5 AVENUE,7
27 W 23 ST,7
128 PINEHURST AVENUE,6
172 EAST 79 STREET,6
66 BEAVER STREET,6
497 SEVENTH AVE,6
558 BROADWAY,6
240 EAST 86 STREET,6
244 W 54 ST,6
576 EIGHTH AVE,6
147 E 86 ST,6
4 PARK AVE,6
10 E 41ST ST,6
1 W 37TH ST,6
770 11 AVENUE,6
35 W 4 ST,6
575          WEST 172 STREET,6
517 WEST 28 STREET,6
521 EAST 14 STREET,6
27 W 44 ST,6
157          WEST 83 STREET,6
327 EAST 48 STREET,6
501 7TH AVE,6
25 E 67TH ST,6
54 MADISON AVE,6
169 W 72 ST,6
864 2 AVENUE,6
246          5 AVENUE,6
484 GRAND ST,6
40 MERCER STREET,6
14 E 38TH ST,6
2300 FREDERICK DOUGLAS BOULEVARD,6
105 CHAMBERS STREET,6
123 WILLIAM ST,6
260          WEST 40 STREET,6
346 HUDSON STREET,6
692 BROADWAY,6
130 E 67TH ST,6
229 CONVENT AVENUE,6
860          WASHINGTON STREET,6
335 WEST 35 STREET,6
219 EAST 42 STREET,6
29 WASHINGTON SQUARE WEST,6
1150 MADISON AVE,6
1206 6 AVE,6
267 5TH AVE,6
6            ST NICHOLAS PLACE,6
1 ASTOR PLAZA,6
76 LAFAYETTE STREET,6
528 WEST 162 STREET,6
5 STUYVESANT OVAL,6
825 2ND AVE,6
200 EAST 62 STREET,6
1 EAST 33 ST,6
61 EAST END AVE,6
207 E 36TH ST,6
50 W 17 ST,6
859          9 AVENUE,6
328 7 AVE,6
175 WEST 60 STREET,6
15           CATHERINE STREET,6
841 9 AVENUE,6
601 W 26TH ST,6
206 WEST   36 STREET,6
21 EAST END AVE,6
406 EAST 29 STREET,6
34 E 32ND ST,6
124 W 60 ST,6
455 FDR DRIVE,6
517          WEST 29 STREET,6
779 COLUMBUS AVENUE,6
592 5TH AVE,6
216 WEST 23 STREET,6
605 EAST 14 STREET,6
150 WEST STREET,6
993 THIRD AVENUE,6
32 E 31ST ST,6
1918 1 AVENUE,6
100 6 AVENUE,6
603          WEST 185 STREET,6
890 BROADWAY,6
259          WEST 132 STREET,6
2093 BWAY,6
20 W 37 ST,6
42 W 58TH ST,6
570 PARK AVE,6
123 MERCER STREET,6
314          WEST 138 STREET,6
228 W 71ST ST,6
133 MORNINGSIDE AVENUE,6
574 WEST END AVE,6
140 EAST   14 STREET,6
415 EAST 37 STREET,6
204 2ND AVE,6
700 8TH AVE,6
546 BROADWAY,6
515          WEST 48 STREET,6
264 EAST BROADWAY,6
392 LAFAYETTE STREET,6
1 WEST 9 STREET,6
28 WEST   23 STREET,6
135 ELDRIDGE STREET,6
25 WEST 13 STREET,6
464 LEXINGTON AV,6
85           BOWERY,6
114 W 86TH ST,6
420 EAST 61 ST,6
198 BROADWAY,6
1875 MADISON AVENUE,6
712 5TH AVENUE,6
1 WEST END AVENUE,6
330 WEST 38 STREET,6
522 EAST 20 STREET,6
104 WEST 18 STREET,6
1250 5 AVENUE,6
1255 BROADWAY,6
1532 YORK AV,6
386 PARK AVENUE SOUTH,6
1352 BROADWAY,6
205 EAST 20 STREET,6
8            MAIDEN LANE,6
77 BOWERY,6
251 W 36TH ST,6
777 6 AVENUE,6
617 LEXINGTON AVENUE,6
715 BROADWAY,6
253 W 73 ST,6
115 W 29TH ST,6
250 W 94TH ST,6
1150 YORK AVENUE,6
821 UN PLAZA,6
314 11 AVENUE,6
133 E 64 ST,6
38 EAST 10 STREET,6
509 5 AV,6
200 EAST BROADWAY,6
323 E 72ND ST,6
118 W 27TH ST,6
