building,counts
98-51 QUEENS BLVD,3
53-40 METROPOLITAN AV,3
109-28 175 ST,3
42-42 8 AV ST,3
35-60 74 ST,3
24-17 41 AV,3
132-22 41 RD,3
40-24 22 ST,3
193-15 NERO AV,3
71-02 ELIOT AV,3
102-40 DITMARS BLVD,3
167-10 CROCHERON AV,3
50-51 98 ST,3
11-13 43 RD,3
131-07 40 RD,3
34-47 87 ST,3
35-32 63 ST,3
170-02 93 AV,3
175-20 WEXFORD TERR,3
36-11 BOWNE ST,3
109-25 SUTPHIN BLVD,3
47-20 CENTER BLVD,3
97-06 LINDEN BLVD,3
135-29 NORTHERN BLVD,3
109-37 203 ST,3
41-15 104 ST,3
30-46 75 ST,3
71-01 FRESH POND RD,3
67-87 BOOTH ST,3
41-42 47 ST,3
189-28 QUENCER RD,3
25-11 UNION ST,3
110-09 101 AV,3
64-45 BOOTH ST,3
43-25 HUNTER ST,3
115-02 JAMAICA AV,3
62-55 61 AV,3
37-16 QUEENS BLVD,3
168-18 SOUTH CONDUIT AV,3
140-22 BEECH AV,3
89-06 135 ST,3
125 BCH 17 ST,3
42-49 COLDEN ST,3
24-01 BROOKLYN QUEENS EXPRESSWA,3
40-20 JUNCTION BLVD,3
39-16 COLLEGE POINT BLVD,3
50-02 55 AV,3
40-17 22 ST,3
3415 PARSONS BLVD,3
137-07 NORTHERN BLVD,3
17-85 215 ST,3
42-15 UNION ST,3
10-45 NAMEOKE ST,3
144-70 41 AV,3
32-68 41 ST,3
9 POWER RD,3
163-01 HORACE HARDING EXPRESSWAY,3
114-10 GUY R BREWER BLVD,3
248-44 ROCKAWAY BLVD,3
42-52 UNION ST,3
157-15 46 AV,3
31-43 VERNON BLVD,3
172-24 133 AV,3
43-44 KISSENA BLVD,3
245-13 JAMAICA AV,3
138-49 BARCLAY AV,3
59-21 71 ST,3
43-12 36 ST,3
17-34 HANCOCK ST,3
141-52 33 AV,3
63-52 WOODHAV BLVD,3
43-01 22 ST,3
58-12 QUEENS BLVD,3
87-55 DUNTON ST,3
131-01 40 RD,3
135-46 GRAND CENTRAL PARKWAY,3
41-21 28 ST,3
353 BEACH 4 AV ST,3
40-40 7 AV ST,3
59-12 37 AV,3
82-01 101 AV,3
60-05 WOODHAV BLVD,3
129-09 26 AV,3
25-27 23 ST,3
55-30 99 ST,3
59-41 MAURICE AV,3
3819 MAIN ST,3
37-20 74 ST,3
77-02 37 AV,3
47-33 5 ST,3
30-35 THOMSON AV,3
162-21 JAMAICA AV,3
83-10 35 AV,3
82-02 45 AV,3
45-45 CENTER BLVD,3
27-05 39 AV,3
178-32 WEXFORD TERRACE,3
144-45 87 AV,3
104-46 48 AV,3
12-44 CLINTONVILLE ST,3
211-02 NORTHERN BLVD,3
18-15 21 AV ST,3
111-25 159 ST,3
353 BEACH 49 ST,3
21-16 43 AV,3
43-34 37 ST,3
157-11 SANFORD AV,3
137-50 JAMAICA AV,3
125-30 SUTPHIN BLVD,3
109-15 98 ST,3
43-20 MAIN ST,3
90-56 CORONA AV,3
38-38 9 ST,3
118-05 180 ST,3
57-02 STARR ST,3
23-10 BRIDGE PLAZA SOUTH,3
90-15 SUTTER AV,3
28-08 35 ST,3
72-02 BURNS ST,3
28-56 41 ST,3
21-09 BORDEN AV,3
41-10 BOWNE ST,3
138-49 ELDER AV,3
94-04 160 ST,3
23-01 21 AV,3
28-30 JACKSON AV,3
249-15 GRAND CENTRL PARKWAY,3
18-02 18 AV,3
25-34 CRESCENT ST,3
114-49 SUTPHIN BLVD,3
90-11 149 ST,3
87-07 215 PL,3
45-20 32 PL,3
33-01 QUEENS BLVD,3
144-33 229 ST,3
225-61 HEMPSTEAD AV,3
40-09 21 ST,3
107-37 108 ST,3
150-25 HILLSIDE AV,3
137-22 70 AV,3
40-16 MAIN ST,3
104-20 QUEENS BLVD,3
66-30 THORNTON PL,3
70-35 150 ST,3
35-63 80 ST,3
108-35 167 ST,3
141-48 85 RD,3
107-11 155 ST,3
334 BEACH 54 ST,3
22-19 41 AV,3
40-05 61 ST,3
144-16 94 AV,3
137-07 32 AV,3
135-20 40 RD,3
133-38 AVERY AV,3
94-40 159 ST,3
136-68 ROOSEVELT AV,3
41-43 39 PL,3
111-03 LEFFERTS BLVD,3
102-55 67 DRIVE,3
144-52 SANFORD AV,3
138-11 FRANKLIN AV,3
221-30 111 AV,3
149-05 79 AV,3
94-19 160 ST,3
163-03 HORACE HARDING EXPRESSWAY,3
40-05 21 ST,3
25-22 ASTORIA BLVD,3
144-20 41 AV,3
26-33 28 ST,3
88-25 153 ST,3
104-84 165 ST,3
36-16 170 ST,3
64-14 KISSENA BLVD,3
42-60 CROMMELIN ST,3
128-15 26 AV,3
27-09 49 AV,3
55-60 MYRTLE AV,3
259-10 HILLSIDE AV,3
98-17 HORACE HARDING EXPRESSWAY,3
57-00 49 PL,3
59-15 47 AV,3
15-02 MOTT AV,3
133-33 SANFORD AV,3
84-14 ASTORIA BLVD,3
175-05 LIBERTY AV,3
60-10 47 AV,3
133-36 41 RD,3
99-06 67 RD,3
113-01 BEACH CHANNEL DRIVE,3
30-40 WHITESTONE EXPRESSWAY,3
65-15 38 AV,3
40-31 22 ST,3
53-11 90 ST,3
30-44 29 ST,3
34-65 192 ST,3
66-01 BURNS ST,3
51-15 ROCKAWAY BEACH BLVD,3
146-20 JAMAICA AV,3
138-54 94 AV,3
31-15 54 ST,3
3901 84 RD,3
140-37 CHERRY AV,3
102-11 ROOSEVELT AV,3
104-20 68 DRIVE,3
22-01 41 AV,3
